Source:;C:\Users\chaka\OneDrive\Documents\ESP_Schematics\Vacuum-Cleaner-Robot-ESP\Schematics\ESP\ESP.kicad_sch;;;;;;;;;;;;;;;;;
Date:;3/29/2023 12:28:05 AM;;;;;;;;;;;;;;;;;
Tool:;Eeschema (7.0.0);;;;;;;;;;;;;;;;;
Generator:;D:\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py;;;;;;;;;;;;;;;;;
Component Count:;87;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Collated Components:;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Item;Reference(s);Value;LibPart;Footprint;Datasheet;digikey link;Qty;Price;;;;;;;;;;
1;C1, C18, C20, C21;1µF;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;https://www.digikey.fi/en/products/detail/kemet/T491A104K035AT/818537;4;0,6324;2,5296;;;;;;;;;
2;C2, C3, C4, C8, C16, C17, C19;100nF;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;https://www.digikey.fi/en/products/detail/kemet/T491A104K035AT/818537;7;0,6324;4,4268;;;;;;;;;
3;C5, C10, C12, C14, C15;10n;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;https://www.digikey.fi/en/products/detail/kyocera-avx/0402YC103KAT2A/563224;5;0,1116;0,558;;;;;;;;;
4;C6, C9;47u;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;https://www.digikey.fi/en/products/detail/united-chemi-con/EKXL401ELL470MJ40S/8543742;2;2,108;4,216;;;;;;;;;
5;C7, C13;680u;Device:C_Polarized_Small;Capacitor_THT:CP_Radial_D10.0mm_P5.00mm;https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1259.pdf;https://www.digikey.fi/en/products/detail/united-chemi-con/EKZN350ELL681MJ25S/4843871;2;1,3392;2,6784;;;;;;;;;
6;C11;220u;Device:C_Polarized_Small;Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder;https://datasheets.kyocera-avx.com/TPS.pdf;https://www.digikey.fi/en/products/detail/kemet/T491D227K016AT/3907827;1;2,3312;2,3312;;;;;;;;;
7;D1, D3, D6;PMEG045V050EPDZ;Device:D_Schottky;Diode_SMD:D_SMB;https://assets.nexperia.com/documents/data-sheet/PMEG045V050EPD.pdf;https://www.digikey.fi/en/products/detail/rochester-electronics-llc/PMEG045V050EPDZ/15637289;3;0,186;0,558;;;;;;;;;
8;D2, D4;GREEN;Device:LED;LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder;~;https://www.digikey.fi/en/products/detail/stanley-electric-co/HPY1105W-TR/428725;2;0,124;0,248;;;;;;;;;
9;F1;5A;Device:Polyfuse;Fuse:Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder;https://www.belfuse.com/resources/datasheets/circuitprotection/ds-cp-0zcg-series.pdf;https://www.digikey.fi/en/products/detail/bel-fuse-inc/0685T5000-01/5466711?s=N4IgTCBcDaIAwDYAcBWAKiuWC0cCMIAugL5A;1;0,372;0,372;;;;;;;;;
10;F2, F3;1.6A;Device:Polyfuse;Fuse:Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder;https://www.belfuse.com/resources/datasheets/circuitprotection/ds-cp-0zcg-series.pdf;https://www.digikey.fi/en/products/detail/bel-fuse-inc/0ZCG0150BF2C/4156109;2;0,2728;0,5456;;;;;;;;;
11;F4;0.72A;Device:Polyfuse;Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder;https://www.belfuse.com/resources/datasheets/circuitprotection/ds-cp-0zcg-series.pdf;https://www.digikey.fi/en/products/detail/bel-fuse-inc/0ZCG0150BF2C/4156109;1;0,2728;0,2728;;;;;;;;;
12;J1;Barrel_Jack;Connector:Barrel_Jack;RAPC722X:SWITCHCRAFT_RAPC722X;https://www.cuidevices.com/product/resource/pj-019.pdf;https://www.digikey.fi/fi/products/detail/gct/DCJ200-10-A-K1-K/9859579;1;0,868;0,868;;;;;;;;;
13;J2;IMU;Connector:Conn_01x07_Pin;Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical;~;https://www.digikey.fi/fi/products/detail/sullins-connector-solutions/PPPC071LFBN-RC/810179?s=N4IgTCBcDaIAoIMIAYDsBGAMgMQEIDkBaAJURAF0BfIA;1;0,7068;0,7068;;;;;;;;;
14;J3;Battery charger;Connector:Conn_01x04_Pin;Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical;~;https://www.digikey.fi/fi/products/detail/sullins-connector-solutions/PPTC041LFBN-RC/810144?s=N4IgTCBcDaIApwCoGEAMAWAjAGQGICEA5AWgCVkQBdAXyA;1;0,5208;0,5208;;;;;;;;;
15;J4;Motor A;Connector:Conn_01x02_Male;Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal;~;https://www.digikey.fi/fi/products/detail/w%C3%BCrth-elektronik/691137710002/6644051;1;0,4712;0,4712;;;;;;;;;
16;J5;Motor B;Connector:Conn_01x02_Male;Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal;~;https://www.digikey.fi/fi/products/detail/w%C3%BCrth-elektronik/691137710002/6644051;1;0,4712;0,4712;;;;;;;;;
17;J6;Fan;Connector:Screw_Terminal_01x02;TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal;~;https://www.digikey.fi/fi/products/detail/w%C3%BCrth-elektronik/691137710002/6644051;1;0,4712;0,4712;;;;;;;;;
18;J7;UltraSonic A;Connector:Conn_01x04_Pin;Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical;~;https://www.digikey.fi/fi/products/detail/sullins-connector-solutions/PPTC041LFBN-RC/810144?s=N4IgTCBcDaIApwCoGEAMAWAjAGQGICEA5AWgCVkQBdAXyA;1;0,5208;0,5208;;;;;;;;;
19;J9;ESP;Connector_Generic:Conn_02x04_Odd_Even;Connector_PinSocket_2.54mm:PinSocket_2x04_P2.54mm_Vertical;~;https://www.digikey.fi/fi/products/detail/sullins-connector-solutions/PPPC042LFBN-RC/810244?s=N4IgTCBcDaIAoIMIAYAsYAyAxAQgOQFoAlREAXQF8g;1;0,806;0,806;;;;;;;;;
20;J11;Bumper 1;Connector:Conn_01x02_Pin;Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical;~;https://www.digikey.fi/fi/products/detail/sullins-connector-solutions/PPTC021LFBN-RC/810142?s=N4IgTCBcDaIApwCoGEAMYCMAZAYgIQDkBaAJWRAF0BfIA;1;0,372;0,372;;;;;;;;;
21;J12;Bumper 2;Connector:Conn_01x02_Pin;Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical;~;https://www.digikey.fi/fi/products/detail/sullins-connector-solutions/PPTC021LFBN-RC/810142?s=N4IgTCBcDaIApwCoGEAMYCMAZAYgIQDkBaAJWRAF0BfIA;1;0,372;0,372;;;;;;;;;
22;J13;Battery Input;Connector:Conn_01x02_Pin;Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical;~;https://www.digikey.fi/fi/products/detail/sullins-connector-solutions/PPTC021LFBN-RC/810142?s=N4IgTCBcDaIApwCoGEAMYCMAZAYgIQDkBaAJWRAF0BfIA;1;0,372;0,372;;;;;;;;;
23;J14, J16;Conn_02x19_Odd_Even;Connector_Generic:Conn_02x19_Odd_Even;Connector_PinSocket_2.54mm:PinSocket_2x19_P2.54mm_Vertical;~;https://www.digikey.fi/fi/products/detail/sullins-connector-solutions/PPPC192LFBN-RC/810258?s=N4IgTCBcDaIAoIMIEYCcYAyAxAQgOQFoAlREAXQF8g;2;2,6164;5,2328;;;;;;;;;
24;J15;UltraSconic B;Connector:Conn_01x04_Pin;Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical;~;https://www.digikey.fi/fi/products/detail/sullins-connector-solutions/PPTC041LFBN-RC/810144?s=N4IgTCBcDaIApwCoGEAMAWAjAGQGICEA5AWgCVkQBdAXyA;1;0,5208;0,5208;;;;;;;;;
25;L1;33uH;Device:L_Small;Inductor_SMD:L_Bourns_SRP2313AA;https://www.bourns.com/docs/Product-Datasheets/SRR1260A.pdf;https://www.digikey.fi/en/products/detail/bourns-inc/SRR1260A-330M/4340216?s=N4IgjCBcoEwAwA4DsVQGMoDMCGAbAzgKYA0IA9lANogDMNABAK0ASIAuqQA4AuUIAqgDsAltwDymALKFs%2BAK4AnQiAC%2BK0jCogAygCVdYGADY4AQXYqgA;1;1,6244;1,6244;;;;;;;;;
26;Q5, Q6;IRLB8721PBF;Transistor_FET:IRLB8721PBF;Package_TO_SOT_THT:TO-220-3_Vertical;http://www.infineon.com/dgdl/irlb8721pbf.pdf?fileId=5546d462533600a40153566056732591;https://www.digikey.fi/en/products/detail/infineon-technologies/IRLB8721PBF/2127670?s=N4IgTCBcDaIJICUAyAhAHAdjARgAooDEQBdAXyA;2;1,3268;2,6536;;;;;;;;;
