Item,Reference(s),Value,LibPart,Footprint,Datasheet,digikey link,Qty,Price,Combined,,,,,,,
1,C1 C18 C20 C21,1µF,Device:C_Small,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,~,https://www.digikey.fi/en/products/detail/kemet/T491A104K035AT/818537,4,0.5084,2.0336,,,,,,,
2,C2 C3 C4 C8 C16 C17 C19,100nF,Device:C_Small,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,~,https://www.digikey.fi/en/products/detail/kemet/T491A104K035AT/818537,7,0.62,4.34,,,,,,,
3,C5 C10 C12 C14 C15,10nF,Device:C_Small,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,~,https://www.digikey.fi/en/products/detail/kyocera-avx/0402YC103KAT2A/563224,5,0.1116,0.558,,,,,,,
4,C6 C9,47uF,Device:C_Small,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,~,https://www.digikey.fi/en/products/detail/united-chemi-con/EKXL401ELL470MJ40S/8543742,2,2.0708,4.1416,,,,,,,
5,C7,680u,Device:C_Polarized_Small,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1259.pdf,https://www.digikey.fi/en/products/detail/rubycon/35ZLJ680M10X25/3134263,1,1.116,1.116,,,,,,,
6,C11,220u,Device:C_Polarized_Small,Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder,https://datasheets.kyocera-avx.com/TPS.pdf,https://www.digikey.fi/en/products/detail/kemet/T491D227K016AT/3907827,1,2.24444,2.24444,,,,,,,
7,D1 D6,PMEG045V050EPDZ,Device:D_Schottky,Diode_SMD:D_SMB,https://assets.nexperia.com/documents/data-sheet/PMEG045V050EPD.pdf,https://www.digikey.fi/en/products/detail/nexperia-usa-inc/PMEG045V050EPDZ/5395774,2,0.7068,1.4136,,,,,,,
8,D2 D4,GREEN,Device:LED,LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~,https://www.digikey.fi/en/products/detail/stanley-electric-co/HPY1105W-TR/428725,2,0.124,0.248,,,,,,,
9,F1,5A,Device:Polyfuse,Fuse:Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,https://www.belfuse.com/resources/datasheets/circuitprotection/ds-cp-0zcg-series.pdf,https://www.digikey.fi/en/products/detail/bel-fuse-inc/0685T5000-01/5466711?s=N4IgTCBcDaIAwDYAcBWAKiuWC0cCMIAugL5A,1,0.3596,0.3596,,,,,,,
10,F2 F3,1.6A,Device:Polyfuse,Fuse:Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,https://www.belfuse.com/resources/datasheets/circuitprotection/ds-cp-0zcg-series.pdf,https://www.digikey.fi/en/products/detail/bel-fuse-inc/0ZCG0150BF2C/4156109,2,0.2728,0.5456,,,,,,,
12,J1,Barrel_Jack,Connector:Barrel_Jack,RAPC722X:SWITCHCRAFT_RAPC722X,https://www.cuidevices.com/product/resource/pj-019.pdf,https://www.digikey.fi/fi/products/detail/gct/DCJ200-10-A-K1-K/9859579,1,0.8556,0.8556,,,,,,,
